Comment,Designator,Footprint,JLCPCB Part #
4.7nH,L1,0402,C86065
32.768kHz,Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,C97606
20pF,"C18,C19",0402,C1554
1uF,"C21,C26,C30",0402,C52923
0.5pF,C34,0402,C1544
MCP1700x-300xxTT,U2,SOT-23,C39051
100pF,C24,0402,C1546
15pF,"C31,C32",0402,C1548
PRTR5V0U2X,D87,SOT-143,C2827688
100nF,"C1,C2,C23,C3,C7",0402,C1525
5.1K,"R1,R2",0402,C25905
10k,"R11,R12,R3",0402,C25744
2K,R10,0402,C4109
orange,D89,0805,C84262
0.8pF,C33,0402,C285068
4.7uF,"C22,C25,C29",0603,C19666
nRF52840,U4,Nordic_AQFN-73-1EP_7x7mm_P0.5mm,C190794
BQ24075RGT,U7,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,C2865459
32Mhz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9009
USB_C_Receptacle_USB2.0_14P,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
SW_Push,SW1,SW_Push_SPST_NO_Alps_SKRK,C720477
