Designator,Mid X,Mid Y,Rotation,Layer
BLUTOOTH,73.32,-124.63,180.0,bottom
C1,69.8,-105.85,225.0,top
C18,81.17,-102.75,0.0,top
C19,79.9,-107.25,180.0,top
C2,80.05,-101.0,315.0,top
C21,75.15,-96.5,135.0,top
C22,67.85,-99.8,315.0,top
C23,71.75,-95.85,315.0,top
C24,77.95,-106.45,90.0,top
C25,68.5,-99.15,315.0,top
C26,72.425,-95.175,135.0,top
C29,78.5,-90.1,90.0,top
C3,74.92,-107.41,45.0,top
C30,77.0,-88.975,0.0,top
C31,69.7,-92.625,225.0,top
C32,68.4,-93.925,45.0,top
C33,77.35,-105.0,45.0,top
C34,78.47,-120.95,0.0,top
C7,70.975,-109.3,270.0,top
CUBIT010,72.225,-90.85,0.0,bottom
D87,72.95,-85.6,0.0,top
D89,77.95,-95.1,0.0,top
HACKBACK,66.4,-108.39,90.0,bottom
HACKFRONT,70.7,-118.92,0.0,top
J1,73.462437,-78.6,180.0,top
J2,62.031763,-101.85335,0.0,top
J3,84.8917,-101.85335,0.0,top
J4,81.3517,-80.26335,0.0,top
J5,65.571763,-80.26335,0.0,top
L1,77.0,-106.9,90.0,top
LOGO,76.275,-113.925,0.0,top
LOGOCULARGE,75.28,-114.65,0.0,bottom
LOGOSMALL,66.73,-88.1,0.0,top
R1,75.05,-84.85,90.0,top
R10,75.15,-88.95,180.0,top
R11,78.5375,-93.2,90.0,top
R12,72.825,-91.5,270.0,top
R2,70.85,-84.85,90.0,top
R3,71.45,-107.875,180.0,top
SW1,74.19,-110.08,0.0,top
U2,80.0,-91.6,0.0,top
U4,73.462437,-101.84835,315.0,top
U7,75.8125,-91.5625,0.0,top
Y1,80.55,-105.0,180.0,top
Y2,70.15,-94.45,225.0,top
